Individual/SHOP,Exchange_Type,State,Issuer_Name,Issuer_ID,Is_Issuer_New_to_Exchange?(Yes_or_No),SADP_Only,Plan_ID,Plan_Type,QHP or SADP?,Metal_Level,URL_Claims_Payment_Policies,Issuer_Claims_Received_Out_of_Network,Issuer_Claims_Received_In_Network,Issuer_Claims_Denied_Out_of_Network,Issuer_Claims_Denied_In_Network,Issuer_Claims_Resubmitted_Out_of_Network,Issuer_Claims_Resubmitted_In_Network,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received_Out_of_Network,Plan_Number_Claims_Received_In_Network,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_In_Network,Plan_Number_Claims_Resubmitted_Out_of_Network,Plan_Number_Claims_Resubmitted_In_Network,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Due_To_Out_Of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce,Plan_Number_Claims_Denied_Due_To_Administrative_Reason,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Average Monthly Enrollment,Average Monthly Disenrollment,source_sheet,Issuer_Claims_Received_Out_of_Network_suppressed,Issuer_Claims_Received_In_Network_suppressed,Issuer_Claims_Denied_Out_of_Network_suppressed,Issuer_Claims_Denied_In_Network_suppressed,Issuer_Claims_Resubmitted_Out_of_Network_suppressed,Issuer_Claims_Resubmitted_In_Network_suppressed,Issuer_Internal_Appeals_Filed_suppressed,Issuer_Number_Internal_Appeals_Overturned_suppressed,Issuer_Percent_Internal_Appeals_Overturned_suppressed,Issuer_External_Appeals_Filed_suppressed,Issuer_Number_External_Appeals_Overturned_suppressed,Issuer_Percent_External_Appeals_Overturned_suppressed,Plan_Number_Claims_Received_Out_of_Network_suppressed,Plan_Number_Claims_Received_In_Network_suppressed,Plan_Number_Claims_Denied_Out_of_Network_suppressed,Plan_Number_Claims_Denied_In_Network_suppressed,Plan_Number_Claims_Resubmitted_Out_of_Network_suppressed,Plan_Number_Claims_Resubmitted_In_Network_suppressed,Plan_Number_Claims_Denied_Referral_Required_suppressed,Plan_Number_Claims_Denied_Due_To_Out_Of_Network_suppressed,Plan_Number_Claims_Denied_Services_Excluded_suppressed,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excluding_Behavioral_Health_suppressed,Plan_Number_Claims_Denied_Not_Medically_Necessary_Behavioral_Health_Only_suppressed,Plan_Number_Claims_Denied_Due_To_Enrolle_Benefit_Limit_Reached_suppressed,Plan_Number_Claims_Denied_Due_To_Member_Not_Covered_suppressed,Plan_Number_Claims_Denied_Due_To_Investigational_Experimental_Cosmetic_Proceduce_suppressed,Plan_Number_Claims_Denied_Due_To_Administrative_Reason_suppressed,Plan_Number_Claims_Denied_Other_suppressed,Average Monthly Enrollment_suppressed,Average Monthly Disenrollment_suppressed,rule_anomaly,rule_reason,ml_prediction,ml_anomaly,ml_anomaly_score,final_anomaly,anomaly_type,severity
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0770001,EPO,QHP,Bronze,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0770002,EPO,QHP,Bronze,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0770003,EPO,QHP,Bronze,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0770004,EPO,QHP,Silver,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0770005,EPO,QHP,Silver,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0770006,EPO,QHP,Silver,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0770007,EPO,QHP,Gold,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0780001,EPO,QHP,Gold,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,SBE-FP,OR,PacificSource Health Plans,10091,No,No,10091OR0780002,EPO,QHP,Gold,https://pacificsource.com/yourplan/,1208.0,3771.0,338.0,658.0,19.0,53.0,136.0,12.0,,,0.0,,,,,,,,,,,,,,,,,,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=54976&:refresh,,,Ind_QHP,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,False,,1,False,0.1808615077718706,False,NORMAL,NORMAL
Individual,FFE,WY,Blue Cross Blue Shield of Wyoming,11269,No,No,11269WY0070004,PPO,QHP,Bronze,https://www.bcbswy.com/QHPTransparency,28568.0,1305051.0,10747.0,229909.0,1445.0,178376.0,434.0,173.0,39.86,,,,1722.0,72725.0,556.0,11665.0,30.0,9255.0,1030.0,,3963.0,22.0,39.0,995.0,2393.0,178.0,8256.0,855.0,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=53767&:refresh,245.0,21.0,Ind_QHP,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,False,,1,False,0.10097088992827008,False,NORMAL,NORMAL
