Plan_ID,Issuer_ID,State,Issuer_Name,Plan_Type,Metal_Level,Exchange_Type,Individual/SHOP,Bayesian_Anomaly,Bayesian_Anomaly_Score,Bayesian_Anomaly_Probability,Bayesian_Threshold,Rule_Anomaly,Rule_Count,Rule_Name,Rule_Reason,Rule_Severity,Evidence_Count,Evidence_Severity,Evidence_Types,Evidence_Features,Evidence_Details,Evidence_Summary,Anomaly_Signal_Count,Anomaly_Signals,Final_Anomaly,Final_Severity
10091OR0770001,10091,OR,PacificSource Health Plans,EPO,Bronze,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0770002,10091,OR,PacificSource Health Plans,EPO,Bronze,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0770003,10091,OR,PacificSource Health Plans,EPO,Bronze,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0770004,10091,OR,PacificSource Health Plans,EPO,Silver,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0770005,10091,OR,PacificSource Health Plans,EPO,Silver,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0770006,10091,OR,PacificSource Health Plans,EPO,Silver,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0770007,10091,OR,PacificSource Health Plans,EPO,Gold,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0780001,10091,OR,PacificSource Health Plans,EPO,Gold,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
10091OR0780002,10091,OR,PacificSource Health Plans,EPO,Gold,SBE-FP,Individual,0,73.95448825512314,0.0124289909724072,292.3326145502012,1,2,EXCESSIVE_IMPORTANT_MISSINGNESS;EXCESSIVE_SUPPRESSED_VALUES,At least 50% of important fields are missing;Record contains 10 or more suppressed or non-numeric values,MEDIUM,0,,,,,,1,Rule,1,MEDIUM
11269WY0070004,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Bronze,FFE,Individual,0,77.63002938765783,0.0131725483291404,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0070013,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Gold,FFE,Individual,0,48.8820904657636,0.007356876376219,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0070014,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Silver,FFE,Individual,0,89.17307162739426,0.0155076912827765,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0070016,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Silver,FFE,Individual,0,68.50029998169963,0.0113256155320363,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0070025,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Gold,FFE,Individual,0,72.14100095123395,0.0120621247675338,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0070026,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Bronze,FFE,Individual,0,85.67526510685084,0.014800089414916,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0170016,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Silver,FFE,Individual,0,66.7366650036296,0.0109688343900901,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
11269WY0170017,11269,WY,Blue Cross Blue Shield of Wyoming,PPO,Gold,FFE,Individual,0,51.14279172831814,0.0078142134034853,292.3326145502012,0,0,NONE,No rule violation detected,NONE,0,,,,,,0,None,0,LOW
