Plan_ID,Issuer_ID,State,Issuer_Name,Plan_Type,Metal_Level,Exchange_Type,Individual/SHOP,ML_Anomaly_Score,ML_Anomaly_Severity,Evidence_Count,Evidence_Severity,Evidence_Types,Evidence_Features,Evidence_Details,Evidence_Summary
29418TX0140100,29418,TX,Celtic Insurance Company,EPO,Silver,FFE,Individual,0.0291761950078528,HIGH,0,LOW,{},[],[],
29418TX0140102,29418,TX,Celtic Insurance Company,EPO,Gold,FFE,Individual,0.0006676843649682,HIGH,0,LOW,{},[],[],
29418TX0140108,29418,TX,Celtic Insurance Company,EPO,Silver,FFE,Individual,0.0448552789047217,HIGH,0,LOW,{},[],[],
30252FL0070035,30252,FL,"Health Options, Inc.",HMO,Silver,FFE,Individual,0.0035570185691981,HIGH,1,MEDIUM,"{""MISSINGNESS"": 1}","[""Total_Important_Missing_Count""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""1 important data fields are missing or unavailable."", ""value"": 1.0}]",1 important data fields are missing or unavailable.
30252FL0070056,30252,FL,"Health Options, Inc.",HMO,Gold,FFE,Individual,0.0020571732309858,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""8 important data fields are missing or unavailable."", ""value"": 8.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 28.6%."", ""value"": 0.2857142857142857}]",8 important data fields are missing or unavailable. Important missingness rate is 28.6%.
30252FL0070070,30252,FL,"Health Options, Inc.",HMO,Silver,FFE,Individual,0.0001792550719136,HIGH,0,LOW,{},[],[],
30751MT0550056,30751,MT,Blue Cross and Blue Shield of Montana,PPO,Catastrophic,SPE,Individual,0.0024132057668497,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""11 important data fields are missing or unavailable."", ""value"": 11.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 39.3%."", ""value"": 0.3928571428571428}]",11 important data fields are missing or unavailable. Important missingness rate is 39.3%.
33602TX0460658,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.029179373884219,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""13 important data fields are missing or unavailable."", ""value"": 13.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 46.4%."", ""value"": 0.4642857142857143}]",13 important data fields are missing or unavailable. Important missingness rate is 46.4%.
33602TX0460665,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.0308717869607948,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""12 important data fields are missing or unavailable."", ""value"": 12.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 42.9%."", ""value"": 0.4285714285714285}]",12 important data fields are missing or unavailable. Important missingness rate is 42.9%.
33602TX0460666,33602,TX,Blue Cross Blue Shield of Texas,HMO,Catastrophic,FFE,Individual,0.0034179552157225,HIGH,2,MEDIUM,"{""MISSINGNESS"": 2}","[""Total_Important_Missing_Count"", ""Important_Missing_Rate""]","[{""type"": ""MISSINGNESS"", ""feature"": ""Total_Important_Missing_Count"", ""message"": ""9 important data fields are missing or unavailable."", ""value"": 9.0}, {""type"": ""MISSINGNESS"", ""feature"": ""Important_Missing_Rate"", ""message"": ""Important missingness rate is 32.1%."", ""value"": 0.3214285714285714}]",9 important data fields are missing or unavailable. Important missingness rate is 32.1%.
