Feature,Importance
numeric__Internal_Appeal_to_Denial_Rate_Raw,0.022947867190606073
numeric__Total_Appeal_to_Denial_Rate,0.021297651055460966
numeric__Total_Appeal_to_Denial_Rate_Raw,0.020209093995459324
numeric__Internal_Appeal_to_Denial_Rate,0.02012494785542873
numeric__Average Monthly Enrollment_suppressed,0.01924515256313817
numeric__Issuer_Out_of_Network_Resubmission_Rate_Raw,0.018544576014275928
numeric__Issuer_Out_of_Network_Resubmission_Rate,0.014962893544701152
numeric__Average Monthly Disenrollment_suppressed,0.014754188415037912
numeric__Issuer_Total_Resubmitted_Claims,0.014599195560021198
numeric__External_Appeal_to_Denial_Rate_Raw,0.014049260499417944
numeric__Other_Denial_Rate_Raw,0.013908912863240787
numeric__Issuer_Claims_Resubmitted_Out_of_Network,0.013743850587476066
numeric__Issuer_Total_Denied_Claims,0.012573586106240101
numeric__Plan_In_Network_Claim_Ratio_Missing_Flag,0.011928050038925735
numeric__Enrollment_Data_Missing_Count,0.011811420301052996
numeric__Other_Denial_Rate,0.011550305846350925
numeric__Issuer_Internal_Appeals_Filed,0.011549836609210665
numeric__Total_Appeals,0.011421979668209375
numeric__Issuer_Number_Internal_Appeals_Overturned,0.011415074008107193
numeric__Plan_Overall_Denial_Rate_Missing_Flag,0.011346130763482813
numeric__Issuer_Claims_Denied_Out_of_Network,0.011300402748871745
numeric__Issuer_Claims_Resubmitted_In_Network,0.011200902112813927
numeric__Issuer_ID,0.010919330476264904
numeric__Issuer_Received_Minus_Resubmitted,0.01088609828721936
numeric__Total_Overturned_Appeals,0.010594328713150475
numeric__External_Appeal_to_Denial_Rate,0.010470840444082776
numeric__Plan_Out_of_Network_Claim_Ratio_Missing_Flag,0.010230437421961591
numeric__Issuer_In_Network_Claim_Ratio_Raw,0.010041707468797487
numeric__Issuer_Claims_Received_Out_of_Network,0.00991571572737702
numeric__Issuer_In_Network_Denial_Rate,0.009757570513566176
numeric__Issuer_Overall_Denial_Rate,0.009663872978790686
numeric__Issuer_Out_of_Network_Claim_Ratio,0.00921521024162061
numeric__Issuer_Overall_Resubmission_Rate,0.009148153553239393
numeric__Issuer_Received_Minus_Denied,0.009102035042200153
numeric__Issuer_In_Network_Claim_Ratio,0.009059653739441297
numeric__Issuer_Claims_Denied_In_Network,0.008878037851409209
numeric__Suppressed_or_NonNumeric_Count,0.008817920317069159
