provider_id,drug_id,prescription_date,total_claims,total_drug_cost,total_beneficiaries,thirty_day_fills,days_supply,processing_time_minutes
P001,D001,2026-08-01,120,4500.00,100,80,30,25
P002,D002,2026-08-01,80,3200.00,70,50,30,35
P003,D003,2026-08-02,60,1800.00,55,40,90,45
P004,D004,2026-08-02,40,-500.00,35,30,30,40
P005,D005,2026-08-03,55,2100.00,50,35,30,-10
P006,,2026-08-03,70,2800.00,65,45,30,50
P007,D007,INVALID_DATE,90,3600.00,85,60,30,55
P008,D008,2026-08-04,100,5000.00,95,70,30,60
P009,D009,2026-08-05,not_a_number,2500.00,80,55,30,40
P010,D010,2026-08-05,75,3000.00,70,50,30,35
P011,D011,2026-08-06,65,2600.00,60,42,30,38
P012,D012,2026-08-06,88,3900.00,80,60,90,44
P013,D013,2026-08-06,110,4800.00,102,75,30,50
P014,D014,2026-08-07,45,1600.00,40,28,30,29
P015,D015,2026-08-07,-20,900.00,18,12,30,22
P016,D016,2026-08-07,95,4200.00,88,65,60,47
P017,D017,2026-08-08,53,2200.00,48,33,30,31
P018,D018,2026/08/08,60,2500.00,55,38,30,33
P019,D019,2026-08-08,74,3100.00,68,49,30,36
P020,,2026-08-09,82,3500.00,76,54,30,41
P021,D021,2026-08-09,66,not_a_price,60,44,30,34
P022,D022,2026-08-09,91,4000.00,85,63,30,46
P023,D023,2026-08-10,58,2300.00,52,36,30,30
P024,D024,2026-08-10,103,4600.00,96,71,90,53
P025,D025,2026-08-10,00077,3300.00,71,52,30,39
P026,D026,2026-08-11,49,1900.00,44,31,30,27
P027,D027,2026-08-11,85,3800.00,79,58,30,45
P028,D028,2026-08-11,67,2700.00,61,45,30,37
P029,D029,2026-08-12,,3050.00,72,50,30,40
P030,D030,2026-08-12,72,2900.00,,48,30,38
